所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
/其他系统(#3655),首印-杂志，验证快印加工厂-产品表新余对应新余,"1.产品表中配置加工厂为新余
2.产品属性匹配到快印",1.导入首印杂志生产计划/手动新增生产计划，触发自动转订单,生产订单的加工厂=新余,,1,功能测试,功能测试阶段
/其他系统(#3655),首印-杂志，产品表中配置加工厂没有对应快印印厂，自动转订单失败,"1.产品表中配置加工厂没有对应快印印厂
2.产品属性匹配到快印",1.导入首印杂志生产计划/手动新增生产计划，触发自动转订单,自动转订单失败（无法匹配到加工厂），不影响生产计划导入/新增,,,,
/其他系统(#3655),首印-杂志，验证收货仓库按快印配置取值,在快印配置中根据产品一类、产品二类配置收货仓库,"1.创建首印杂志订单
2.触发自动转订单",收货仓库=快印配置中对应的收货仓库，同时要满足仓库的法人公司=采购公司，配置站点一致,,1,功能测试,功能测试阶段
/其他系统(#3655),首印-杂志，验证收货仓库需符合站点条件,在快印配置中配置收货仓库,"1.创建生产计划，站点与配置的仓库站点不符
2.触发自动转订单",不能自动转生产订单，系统给出提示；不影响生产计划导入,,1,功能测试,功能测试阶段
/其他系统(#3655),首印-杂志，验证收货仓库需符合采购公司条件,在快印配置中配置收货仓库,"1.创建订单，采购公司与配置的仓库法人公司不符
2.触发自动转订单",不能自动转生产订单，系统给出提示；不影响生产计划导入,,1,功能测试,功能测试阶段
/其他系统(#3655),加印-杂志，验证印量组导入触发自动接收并转订单,创建加印生产计划，生产属性为期刊,1.印量组导入生产计划/手动新增生产计划,"1.自动接收生产计划
2.自动触发转订单
3.生成生产订单成功",,1,功能测试,功能测试阶段
/其他系统(#3655),加印-杂志，验证按单品分别转订单-一个单品一个订单,创建加印生产计划包含3个杂志单品,1.印量组导入生产计划/手动新增生产计划，触发自动转订单,生成3个生产订单，每个单品对应一个生产订单，按单品生成订单默认勾选,,1,功能测试,功能测试阶段
/其他系统(#3655),加印-杂志，验证数量按生产计划数量全部转,创建加印生产计划，数量为1500,1.触发自动转订单,生产订单的数量=生产计划数量1500，全部转入,,1,功能测试,功能测试阶段
/其他系统(#3655),加印-杂志，验证生产工艺取快印模版,印务人员维护快印和传统模版,1.生产订单中的产品的产品一类、产品二类、使用类型、开本、首印/加印和生产订单的合同数量，匹配到快印，检查生产订单的生产工艺取值,生产订单的生产工艺取对应的快印模版,,2,功能测试,功能测试阶段
/其他系统(#3655),加印-杂志，验证生产工艺取传统印刷模版,印务人员维护快印和传统模版,1.生产订单中的产品的产品一类、产品二类、使用类型、开本、首印/加印和生产订单的合同数量，匹配到传统，检查生产订单的生产工艺取值,生产订单的生产工艺取传统模版,,2,功能测试,功能测试阶段
/其他系统(#3655),加印-杂志，验证加工厂-首印快印，加印快印继承最近一次快印加工厂,该产品首印为快印，加印也为快印,1.导入生产计划/手动新增生产计划，触发自动转订单,生产订单的加工厂，继承最近一次快印的加工厂,,1,功能测试,功能测试阶段
/其他系统(#3655),加印-杂志，验证加工厂-首印传统，加印传统继承最近一次传统加工厂,该产品首印为传统印刷，加印为传统,1.导入生产计划/手动新增生产计划，触发自动转订单,生产订单的加工厂，继承最近一次传统印刷的加工厂,,1,功能测试,功能测试阶段
/其他系统(#3655),加印-杂志，验证加工厂-首印快印，加印传统取产品表加工厂,该产品首印为快印，加印为传统，产品表加工厂为红星,1.导入生产计划/手动新增生产计划，触发自动转订单（产品表加工厂为红星）,生产订单的加工厂=红星（取产品表的加工厂）,,1,功能测试,功能测试阶段
/其他系统(#3655),加印-杂志，验证加工厂-首印传统，加印快印-十二厂对应印之坊,该产品首印为传统印刷，加印快印；加工厂为十二厂,1.导入生产计划/手动新增生产计划，触发自动转订单（产品表加工厂为十二厂）,生产订单的加工厂=印之坊,,1,功能测试,功能测试阶段
/其他系统(#3655),加印-杂志，验证加工厂-首印传统，加印快印-红星对应印之坊,该产品首印为传统印刷，加印快印，加工厂为红星,1.导入生产计划/手动新增生产计划，触发自动转订单（产品表加工厂为红星）,生产订单的加工厂=印之坊,,1,功能测试,功能测试阶段
/其他系统(#3655),加印-杂志，验证加工厂-首印传统，加印快印-凯顺对应凯顺,该产品首印为传统印刷，加印快印，加工厂为凯顺,1.导入生产计划/手动新增生产计划，触发自动转订单（产品表加工厂为凯顺）,生产订单的加工厂=凯顺,,1,功能测试,功能测试阶段
/其他系统(#3655),加印-杂志，验证加工厂-首印传统，加印快印-茂源对应茂源,该产品首印为传统印刷，加印快印，加工厂为茂源,1.导入生产计划/手动新增生产计划，触发自动转订单（产品表加工厂为茂源）,生产订单的加工厂=茂源,,1,功能测试,功能测试阶段
/其他系统(#3655),加印-杂志，验证加工厂-首印传统，加印快印-新余对应新余,该产品首印为传统印刷，加印快印，加工厂为新余,1.创建加印生产计划，触发自动转订单（产品表加工厂为新余）,生产订单的加工厂=新余,,1,功能测试,功能测试阶段
/其他系统(#3655),加印-杂志，首印传统，加印快印，传统印厂没有对应的快印印厂，自动转订单失败,该产品首印为传统印刷，加印快印，加工厂为宏达,1.创建加印生产计划，触发自动转订单（产品表加工厂为宏达）,自动转订单失败，不影响生产计划生成,,2,功能测试,功能测试阶段
/其他系统(#3655),加印-杂志，验证收货仓库取最近一次下印生产订单的收货仓库,该产品最近一次下印的生产订单收货仓库为A仓库,"1.创建加印订单
2.触发自动转订单",生产订单的收货仓库=A仓库（继承最近一次下印的收货仓库），收货仓库需要满足采购公司和配送站点要求,,1,功能测试,功能测试阶段
/系统设置/快印配置(#3653),验证快印配置菜单入口,用户已登录系统,"1.进入系统菜单
2.点击""快印配置""菜单","1.菜单正常显示
2.成功进入快印配置页面，显示查询条件和列表",,1,功能测试,功能测试阶段
/系统设置/快印配置(#3653),验证各查询条件功能,已进入快印配置页面，存在快印配置数据,"1.在产品一类下拉框选择一个产品一类，点击查询
2.清空条件，在产品二类下拉框选择多个产品二类，点击查询
3.清空条件，在使用类型下拉框选择多个使用类型，点击查询
4.清空条件，在首印/加印下拉框选择""首印""，点击查询
5.清空条件，在开本下拉框选择多个开本，点击查询
6.清空条件，在印刷厂下拉框选择多个印刷厂，点击查询","1.列表显示符合所选产品一类的数据
2.产品二类支持多选，列表显示符合条件的数据
3.使用类型支持多选，列表显示符合条件的数据
4.列表显示为""首印""的数据
5.开本支持多选，列表显示符合条件的数据
6.印刷厂支持多选，列表显示符合条件的数据",,1,功能测试,功能测试阶段
/系统设置/快印配置(#3653),验证组合条件查询及无数据场景,已进入快印配置页面,"1.同时选择产品一类、产品二类、使用类型、首印/加印、开本、印刷厂，点击查询
2.选择一个不存在配置数据的查询条件组合，点击查询","1.列表显示同时满足所有条件的配置数据
2.列表显示为空或提示""暂无数据""",,1,功能测试,功能测试阶段
/系统设置/快印配置(#3653),验证重置功能,已进入快印配置页面，已选择多个查询条件,1.点击重置按钮,"1.所有查询条件恢复为默认状态
2.列表显示全部数据",,2,功能测试,功能测试阶段
/系统设置/快印配置(#3653),新增快印配置弹窗，验证多选字段功能,已打开新增快印配置弹窗,"1.点击产品一类选择框，选择多个产品一类
2.点击产品二类选择框，验证只显示已选产品一类下的二类，选择多个产品二类
3.点击使用类型选择框，选择多个使用类型
4.点击开本选择框，选择多个开本","1.产品一类支持多选，已选项正确显示
2.产品二类与产品一类联动，只显示对应二类，支持多选
3.使用类型支持多选，已选项正确显示
4.开本支持多选，已选项正确显示",,1,功能测试,功能测试阶段
/系统设置/快印配置(#3653),新增快印配置弹窗，验证"不限"选项功能,已打开新增快印配置弹窗,"1.在产品一类选择框勾选""不限""
2.在产品二类选择框勾选""不限""
3.在使用类型选择框勾选""不限""
4.在开本选择框勾选""不限""
5.在首印/加印选择框勾选""不限""
6.勾选生产数量""不限""选项","1.产品一类成功勾选""不限""，表示匹配所有产品一类（勾选不限时，产品一类选择置灰，不能进行选择，以下同理）
2.产品二类成功勾选""不限""，表示匹配所有产品二类
3.使用类型成功勾选""不限""，表示匹配所有使用类型
4.开本成功勾选""不限""，表示匹配所有开本
5.首印/加印成功勾选""不限""，表示匹配首印和加印
6.生产数量成功勾选""不限""，最小值和最大值输入框置灰
",,1,功能测试,功能测试阶段
/系统设置/快印配置(#3653),新增快印配置弹窗，验证单选字段及是否快印功能,已打开新增快印配置弹窗,"1.点击首印/加印选择框，选择""首印""
2.点击首印/加印选择框，选择""加印""
3.在是否快印选择""是""
4.在是否快印选择""否""","1.首印/加印为单选，只能选择一个选项
2.切换选择正常
3.是否快印成功选择""是""
4.是否快印成功选择""否""",,1,功能测试,功能测试阶段
/系统设置/快印配置(#3653),验证生产数量输入及边界值,已打开新增快印配置弹窗,"1.在生产数量最小值输入100，最大值输入1000
2.在生产数量最小值输入500，最大值输入500（最小值=最大值）
3.在生产数量最小值输入1000，最大值输入100（最小值>最大值）","1.最小值和最大值正常输入，表示匹配生产数量在100-1000之间（含边界值，闭区间）
2.允许最小值等于最大值，表示精确匹配生产数量为500
3.系统提示错误，不允许最小值大于最大值",,1,功能测试,功能测试阶段
/系统设置/快印配置(#3653),下拉数据过滤规则,已打开新增快印配置弹窗，存在禁用的加工厂和特殊仓库,"1.分别查看产品一类、产品二类、使用类型、开本的下拉选项
2.点击加工厂选择框，查看可选项
3.点击收货仓库选择框，查看可选项","1.所有枚举值只显示有效或使用中的数据，无效或停用的数据不显示
2.加工厂只显示启用状态的加工厂供应商，禁用的不显示
3.收货仓库不显示原料仓、办公用品/维修仓，只显示启用的仓库",,1,功能测试,功能测试阶段
/系统设置/快印配置(#3653),验证追加数量输入,已打开新增快印配置弹窗,"1.查看追加数量输入框默认值
2.在追加数量输入框输入100
3.在追加数量输入框输入""abc""","1.追加数量默认值为0
2.成功输入100，数值正确显示
3.不允许输入非数字字符，或提示输入格式错误",,1,功能测试,功能测试阶段
/系统设置/快印配置(#3653),验证必填项校验,已打开新增快印配置弹窗,"1.不选择产品一类，填写其他必填项，点击保存
2.不选择产品二类，填写其他必填项，点击保存
3.不选择使用类型，填写其他必填项，点击保存
4.不选择开本，填写其他必填项，点击保存
5.不选择首印/加印，填写其他必填项，点击保存
6.不填写生产数量且不勾选不限，填写其他必填项，点击保存","1.保存失败，提示产品一类为必填项
2.保存失败，提示产品二类为必填项
3.保存失败，提示使用类型为必填项
4.保存失败，提示开本为必填项
5.保存失败，提示首印/加印为必填项
6.保存失败，提示生产数量为必填项",,1,功能测试,功能测试阶段
/系统设置/快印配置(#3653),验证唯一性校验,已打开新增快印配置弹窗，已存在快印配置数据,"1.选择与已有配置相同的产品一类、产品二类、使用类型、开本、首印/加印、生产数量，点击保存
2.选择与已有配置不同的条件组合，填写其他字段，点击保存","1.保存失败，提示配置已存在或重复
2.保存成功，列表新增一条配置记录",,1,功能测试,功能测试阶段
/系统设置/快印配置(#3653),验证新增成功及取消,已打开新增快印配置弹窗,"1.完整填写所有字段：产品一类、产品二类、使用类型、开本、首印/加印、生产数量、是否快印、加工厂、收货仓库、追加数量，点击保存
2.重新打开新增弹窗，填写部分数据，点击取消按钮","1.保存成功，弹窗关闭，列表新增一条配置记录，各字段值正确显示
2.弹窗关闭，数据不保存，列表无新增记录",,1,功能测试,功能测试阶段
